"month","date","article1","article2","article3","article4","article5","article6","article7","article8","article9","article10","totalarticles","sales1","sales2","sales3","sales4","sales5","sales6","sales7","sales8","sales9","sales10","totalsales","offlinesales","onlinesales"
"2014-01",498666,194,95,24,126,73,153,36,208,104,72,1085,485,2318.3,7410.8,1086.4,281.3,1261,3074.9,261.9,601.4,1387.1,17866,7926.16657693822,9939.83342306178
"2014-02",451234,159,81,21,111,46,150,29,186,101,51,935,397.5,1900.05,6073.8,890.4,230.55,1033.5,2520.15,214.65,492.9,1136.85,14688.5,8723.53561050128,5964.96438949872
"2014-03",500495,190,84,23,126,65,146,27,204,105,56,1026,475,2270.5,7258,1064,275.5,1235,3011.5,256.5,589,1358.5,17461,8877.79840884434,8583.20159115566
"2014-04",485265,174,87,27,111,56,157,29,220,94,55,1010,435,2079.3,6646.8,974.4,252.3,1131,2757.9,234.9,539.4,1244.1,16061,6686.59607888752,9374.40392111248
"2014-05",502386,198,96,40,123,51,154,25,216,84,63,1050,495,2366.1,7563.6,1108.8,287.1,1287,3138.3,267.3,613.8,1415.7,18177,5856.36281118775,12320.6371888123
"2014-06",487095,163,100,27,135,65,157,32,226,86,78,1069,407.5,1947.85,6226.6,912.8,236.35,1059.5,2583.55,220.05,505.3,1165.45,15168.5,9078.41682200258,6090.08317799742
"2014-07",504277,190,91,40,130,57,130,23,221,77,71,1030,475,2270.5,7258,1064,275.5,1235,3011.5,256.5,589,1358.5,17465,9442.343032229,8022.656967771
"2014-08",505238,177,92,24,116,69,163,35,250,83,56,1065,442.5,2115.15,6761.4,991.2,256.65,1150.5,2805.45,238.95,548.7,1265.55,16375.5,9870.01970389506,6505.48029610494
"2014-09",489855,158,90,34,117,59,159,27,213,94,54,1005,395,1888.1,6035.6,884.8,229.1,1027,2504.3,213.3,489.8,1129.7,14672,8866.789451099,5805.210548901
"2014-10",507129,178,77,27,133,66,157,25,219,89,56,1027,445,2127.1,6799.6,996.8,258.1,1157,2821.3,240.3,551.8,1272.7,16424,4458.28327052091,11965.7167294791
"2014-11",491685,183,95,32,123,49,131,28,176,109,58,984,457.5,2186.85,6990.6,1024.8,265.35,1189.5,2900.55,247.05,567.3,1308.45,16813.5,4861.75437668814,11951.7456233119
"2014-12",509020,189,80,34,121,61,164,32,221,104,71,1077,472.5,2258.55,7219.8,1058.4,274.05,1228.5,2995.65,255.15,585.9,1351.35,17425.5,9943.76171670148,7481.73828329852
"2015-01",509981,187,100,31,112,69,159,31,226,89,55,1059,467.5,2234.65,7143.4,1047.2,271.15,1215.5,2963.95,252.45,579.7,1337.05,17234.5,6891.81280582191,10342.6871941781
"2015-02",461454,162,67,22,118,68,148,20,215,85,55,960,405,1935.9,6188.4,907.2,234.9,1053,2567.7,218.7,502.2,1158.3,14973,7946.56250966193,7026.43749033807
"2015-03",511810,167,109,37,132,69,176,35,227,81,72,1105,417.5,1995.65,6379.4,935.2,242.15,1085.5,2646.95,225.45,517.7,1194.05,15550.5,7745.44670646972,7805.05329353028
"2015-04",496215,154,85,35,157,63,145,23,196,98,68,1024,385,1840.3,5882.8,862.4,223.3,1001,2440.9,207.9,477.4,1101.1,14345,7357.94130971514,6987.05869028486
"2015-05",513701,207,82,36,102,63,165,30,212,103,60,1060,517.5,2473.65,7907.4,1159.2,300.15,1345.5,3280.95,279.45,641.7,1480.05,18965.5,10922.10915241,8043.39084759003
"2015-06",498045,174,90,37,107,59,137,36,229,107,59,1035,435,2079.3,6646.8,974.4,252.3,1131,2757.9,234.9,539.4,1244.1,16086,7617.55113771347,8468.44886228653
"2015-07",515592,199,78,19,99,61,172,32,210,109,68,1047,497.5,2378.05,7601.8,1114.4,288.55,1293.5,3154.15,268.65,616.9,1422.85,18260.5,9107.0293829697,9153.4706170303
"2015-08",516553,183,105,27,104,64,145,26,184,97,56,991,457.5,2186.85,6990.6,1024.8,265.35,1189.5,2900.55,247.05,567.3,1308.45,16820.5,7948.29146834815,8872.20853165185
