"month","markoff","markon","marktotal","roi"
"2014-01",427,425,852,20.9694835680751
"2014-02",386,385,771,19.0512321660182
"2014-03",389,408,797,21.9084065244668
"2014-04",404,381,785,20.459872611465
"2014-05",410,430,840,21.6392857142857
"2014-06",362,367,729,20.8072702331962
"2014-07",421,408,829,21.0675512665862
"2014-08",418,397,815,20.0926380368098
"2014-09",423,395,818,17.9364303178484
"2014-10",455,396,851,19.2996474735605
"2014-11",395,427,822,20.4543795620438
"2014-12",419,387,806,21.6197270471464
"2015-01",374,414,788,21.871192893401
"2015-02",423,383,806,18.5769230769231
"2015-03",396,409,805,19.3173913043478
"2015-04",415,390,805,17.8198757763975
"2015-05",420,388,808,23.4721534653465
"2015-06",402,386,788,20.4137055837563
"2015-07",393,376,769,23.7457737321196
"2015-08",405,411,816,20.6133578431373
"2015-09",405,433,838,18.0196897374702
"2015-10",398,395,793,22.2433795712484
"2015-11",383,414,797,19.0144291091593
"2015-12",390,422,812,21.4538177339901
"2016-01",376,433,809,21.7447466007417
"2016-02",411,405,816,18.9607843137255
"2016-03",429,394,823,21.7831105710814
"2016-04",453,379,832,21.5042067307692
"2016-05",375,388,763,22.321756225426
"2016-06",406,397,803,19.2733499377335
"2016-07",389,392,781,21.5300896286812
"2016-08",424,418,842,19.6276722090261
"2016-09",393,395,788,21.7017766497462
"2016-10",405,411,816,18.6458333333333
"2016-11",370,415,785,21.6745222929936
"2016-12",395,413,808,17.6107673267327
"2017-01",399,397,796,22.6809045226131
