"month","date","orders"
"2014-01",498666,126
"2014-02",451234,128
"2014-03",500495,113
"2014-04",485265,118
"2014-05",502386,116
"2014-06",487095,124
"2014-07",504277,122
"2014-08",505238,110
"2014-09",489855,105
"2014-10",507129,121
"2014-11",491685,141
"2014-12",509020,130
"2015-01",509981,141
"2015-02",461454,110
"2015-03",511810,126
"2015-04",496215,103
"2015-05",513701,120
"2015-06",498045,104
"2015-07",515592,130
"2015-08",516553,122
"2015-09",500805,114
"2015-10",518444,133
"2015-11",502635,112
"2015-12",520335,116
"2016-01",521296,118
"2016-02",488534,103
"2016-03",523156,140
"2016-04",507195,115
"2016-05",525047,120
"2016-06",509025,121
"2016-07",526938,137
"2016-08",527899,106
"2016-09",511785,121
"2016-10",529790,119
"2016-11",513615,130
"2016-12",531681,122
"2017-01",532642,106
